h,creal,cimag,condition,c,extrapolation
0.03225806451612912,0.23742151509967824,0.003757783579541436,161.4809887026154,(0.23742151509967824+0.003757783579541436j),
0.015873015873015928,0.23751860122701554,0.0037405475478170733,328.1091927402984,(0.23751860122701554+0.0037405475478170733j),(0.23752464738097717+0.0037394741534573324j)
0.007874015748031593,0.23752598475951855,0.0037397259161736055,660.8574427508987,(0.23752598475951855+0.0037397259161736055j),(0.23752646068611133+0.0037396729555685803j)
0.0039215686274510775,0.23752645747523396,0.00373967416429667,1326.2868943616127,(0.23752645747523396+0.00373967416429667j),(0.23752648846595362+0.0037396707715008372j)
0.00195694716242667,0.2375264869018732,0.0037396709198504077,2657.137182594037,(0.2375264869018732+0.0037396709198504077j),(0.23752648884732552+0.003739670705353757j)
0.0009775171065494748,0.2375264902407293,0.003739683967844203,5318.836333472821,(0.2375264902407293+0.003739683967844203j),(0.23752649046239294+0.003739684834088729j)
0.0004885197850513778,0.2375264867915575,0.0037396602069520953,10642.234527146704,(0.2375264867915575+0.0037396602069520953j),(0.23752648656209158+0.0037396586261915095j)
