h,creal,cimag,condition
0.032258064516129115,0.23746678508854926,0.003793726950988686,0.07358776463096633
0.015873015873015928,0.23752078075523206,0.0037426485486441495,0.14577824918359875
0.007874015748031593,0.2375261095920796,0.0037398530905541783,0.29338075220842064
0.0039215686274510775,0.23752646498033847,0.0037396819046185254,0.5887294530869631
0.00195694716242667,0.23752648733427587,0.0037396713235249373,1.1794454762821838
0.0009775171065494748,0.2375264887278241,0.0037396706666087327,2.3608810878966198
0.0004885197850513778,0.23752648881468663,0.003739670625714514,4.723753387224445
0.00024420024420035435,0.237526488820068,0.0037396706231594226,9.449498436071398
0.00012208521548051632,0.23752648882033683,0.0037396706228950702,18.900988747915672
6.103888176778316e-05,0.23752648882049335,0.0037396706232907797,37.803969477372796
